,code,name,lot_size,stock_type,stock_child_type,owner_stock_code,listing_date,stockid
0,US.A,安捷倫科技,1,STOCK,0,,1969-12-31,204747
1,US.AA,美國鋁業,1,STOCK,0,,1969-12-31,205871
2,US.AAC,"AAC Holdings, Inc.",1,STOCK,0,,1969-12-31,210423
3,US.AAN,"Aaron's, Inc.",1,STOCK,0,,1969-12-31,206947
4,US.AAP,"Advance Auto Parts, Inc.",1,STOCK,0,,1969-12-31,202619
5,US.AAT,"American Assets Trust, Inc.",1,STOCK,0,,1969-12-31,207065
6,US.AAU,Almaden Minerals Ltd.,1,STOCK,0,,1969-12-31,208563
7,US.AAV,Advantage Oil & Gas Ltd.,1,STOCK,0,,1969-12-31,201110
8,US.AB,聯博控股,1,STOCK,0,,1969-12-31,202822
9,US.ABB,阿西布朗勃法瑞公司,1,STOCK,0,,1969-12-31,201725
10,US.ABBV,艾伯維公司,1,STOCK,0,,1969-12-31,206654
11,US.ABC,美源伯根,1,STOCK,0,,1969-12-31,202039
12,US.ABE,"Aberdeen Emerging Markets Smaller Co. Opportunities Fund, Inc.",1,STOCK,0,,2015-05-03,211272
13,US.ABEV,安貝夫集團,1,STOCK,0,,1969-12-31,206650
14,US.ABG,阿斯伯里汽車集團,1,STOCK,0,,1969-12-31,205293
15,US.ABM,反導工業公司,1,STOCK,0,,1969-12-31,205393
16,US.ABR,阿伯房地產信托,1,STOCK,0,,1969-12-31,202642
17,US.ABR-A,Arbor Realty Trust Preferred Series A,1,STOCK,0,,1969-12-31,75213467500150
18,US.ABR-B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,1,STOCK,0,,1969-12-31,75213467500151
19,US.ABR-C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,1,STOCK,0,,1969-12-31,75213467500152
20,US.ABRN,"Arbor Realty Trust, Inc.",1,STOCK,0,,1969-12-31,210026
21,US.ABS,"ALBERTSONS COMPANIES, INC.",1,STOCK,0,,1969-12-31,211402
22,US.ABT,雅培公司,1,STOCK,0,,1969-12-31,205494
23,US.ABX,巴裡克黃金,1,STOCK,0,,1969-12-31,201927
24,US.AC,"Associated Capital Group, Inc.",1,STOCK,0,,1969-12-31,211541
25,US.ACC,美國校園社區公司,1,STOCK,0,,1969-12-31,202628
26,US.ACCO,ACCO Brands Corp.,1,STOCK,0,,1969-12-31,207335
27,US.ACH,中國鋁業,1,STOCK,0,,2002-01-30,201141
28,US.ACM,AECOM Technology Corporation,1,STOCK,0,,1969-12-31,202361
29,US.ACN,埃森哲,1,STOCK,0,,1969-12-31,203563
30,US.ACP,Aberdeen Income Credit Strategies Fund,1,STOCK,0,,1969-12-31,208002
31,US.ACRE,戰神商業房地產公司,1,STOCK,0,,1969-12-31,207679
32,US.ACU,Acme United Corp,1,STOCK,0,,1969-12-31,208796
33,US.ACV,AllianzGI Diversified Income & Convertible Fund,1,STOCK,0,,2015-05-21,204264
34,US.ACY,AeroCentury Corp.,1,STOCK,0,,1969-12-31,209114
35,US.ADC,美國同意房地產公司,1,STOCK,0,,1969-12-31,205174
36,US.ADGE,美國DG能源公司,1,STOCK,0,,1969-12-31,208403
37,US.ADIN,Adaptive Insights,1,STOCK,0,,2018-06-13,75947906910602
38,US.ADK,AdCare Health Systems,1,STOCK,0,,1969-12-31,208679
39,US.ADM,阿徹丹尼爾斯米德蘭公司,1,STOCK,0,,1969-12-31,203191
40,US.ADNT,Adient plc,1,STOCK,0,,2016-10-30,73461120843083
41,US.ADPT,ADEPTUS HEALTH INC.,1,STOCK,0,,1969-12-31,203842
42,US.ADS,聯合數據,1,STOCK,0,,1969-12-31,202996
43,US.ADSW,Advanced Disposal Services Inc (DE),1,STOCK,0,,2016-10-05,72331544443592
44,US.ADT,ADT,1,STOCK,0,,2018-01-18,75316546709408
45,US.ADX,亞當斯快遞,1,STOCK,0,,1969-12-31,203025
46,US.AE,亞當斯資源與能源公司,1,STOCK,0,,1969-12-31,207802
47,US.AEB,AEGON NV,1,STOCK,0,,1969-12-31,208021
48,US.AED,AEGON NV,1,STOCK,0,,1969-12-31,207523
49,US.AEE,阿美能,1,STOCK,0,,1969-12-31,202452
50,US.AEG,荷蘭全球保險,1,STOCK,0,,1969-12-31,206681
51,US.AEH,AEGON NV,1,STOCK,0,,1969-12-31,207175
52,US.AEK,AEGON NV,1,STOCK,0,,1969-12-31,207450
53,US.AEK.CL,AEGON NV,1,STOCK,0,,1969-12-31,75866302531905
54,US.AEL,美國股票投資壽險控股公司,1,STOCK,0,,1969-12-31,205947
55,US.AEM,伊格爾礦業,1,STOCK,0,,1969-12-31,201451
56,US.AEO,美鷹服飾,1,STOCK,0,,1969-12-31,201652
57,US.AEP,美國電力,1,STOCK,0,,1969-12-31,202944
58,US.AER,AerCap Holdings NV,1,STOCK,0,,1969-12-31,201215
59,US.AES,愛依斯電力,1,STOCK,0,,1969-12-31,201504
60,US.AES-C,AES Trust III,1,STOCK,0,,1969-12-31,205098
61,US.AET,安泰保險,1,STOCK,0,,1969-12-31,202204
62,US.AEUA,Anadarko Petroleum Corp.,1,STOCK,0,,1969-12-31,211067
63,US.AF,道夫金融公司,1,STOCK,0,,1969-12-31,203490
64,US.AFA,American Financial Group Inc Pfd,1,STOCK,0,,1969-12-31,209722
65,US.AFA.L,AFA.L,1,STOCK,0,,1969-12-31,74594992210521
66,US.AFC,聯合資本,1,STOCK,0,,1969-12-31,202780
67,US.AFCO,AMERICAN FARMLAND CO ,1,STOCK,0,,2015-10-19,211403
68,US.AFG,美國金融集團有限公司,1,STOCK,0,,1969-12-31,203070
69,US.AFGE,"American Financial Group, Inc.",1,STOCK,0,,1969-12-31,210408
70,US.AFGH,"American Financial Group, Inc.",1,STOCK,0,,1969-12-31,211517
71,US.AFGL,AFG Holdings,1,STOCK,0,,2018-07-18,76111115667958
72,US.AFI,"Armstrong Flooring, Inc.",1,STOCK,0,,1969-12-31,72559177710375
73,US.AFL,美國家庭壽險,1,STOCK,0,,1969-12-31,202584
74,US.AFSD,Aflac Inc Pfd,1,STOCK,0,,1969-12-31,207573
75,US.AFSI-A,"AmTrust Financial Services, Inc. Preferred Series A",1,STOCK,0,,1969-12-31,75213467500156
76,US.AFSI-B,"AmTrust Financial Services, Inc. Depository Shares Representing",1,STOCK,0,,1969-12-31,75213467500157
77,US.AFSI-C,"AmTrust Financial Services, Inc. Depository Shares Representing",1,STOCK,0,,1969-12-31,75213467500158
78,US.AFSI-D,"AFSI存托凭证,1/40th Interest in a shares of 7.50% 非累积优先股, Series D",1,STOCK,0,,1969-12-31,75213467500159
79,US.AFSI-E,"AFSI存托凭证 ,1/40 th Interest in a Share of 7.75% 非累积优先股, Series E",1,STOCK,0,,1969-12-31,75213467500514
80,US.AFSI-F,"AFSI存托凭证,1/40 th Interest in a Share of 6.95% 非累积优先股, Series F",1,STOCK,0,,1969-12-31,75213467500552
81,US.AFSS,"AmTrust Financial Services, Inc. (New York)",1,STOCK,0,,1969-12-31,211095
82,US.AFST,"AmTrust Financial Services, Inc. (New York)",1,STOCK,0,,1969-12-31,211341
83,US.AFT,"Apollo Senior Floating Rate Fund, Inc.",1,STOCK,0,,1969-12-31,207850
84,US.AFW,American Financial Group Inc 6-3/8% Senior Notes Due 2042,1,STOCK,0,,1969-12-31,209724
85,US.AFW.L,AFW.L,1,STOCK,0,,1969-12-31,74371653910801
86,US.AG,First Majestic Silver Corp.,1,STOCK,0,,1969-12-31,207144
87,US.AGC,Advent Claymore Convertible Securities & Income Fund II,1,STOCK,0,,1969-12-31,207974
88,US.AGCO,愛科集團,1,STOCK,0,,1969-12-31,202311
89,US.AGD,Aberdeen Global Dynamic Dividend Fund,1,STOCK,0,,1969-12-31,202475
90,US.AGI,"Alamos Gold, Inc.",1,STOCK,0,,1969-12-31,207120
91,US.AGM,聯邦農業抵押貸款公司,1,STOCK,0,,1969-12-31,206029
92,US.AGM-A,Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative,1,STOCK,0,,1969-12-31,75213467502327
93,US.AGM-B,Federal Agricultural Mortgage Corporation Non Cumulative Prefer,1,STOCK,0,,1969-12-31,75213467500160
94,US.AGM-C,Federal Agricultural Mortgage Corporation Preferred Series C Fi,1,STOCK,0,,1969-12-31,75213467500161
95,US.AGM.A,聯邦農業抵押貸款,1,STOCK,0,,2015-04-05,201123
96,US.AGN,艾爾建,1,STOCK,0,,1969-12-31,202899
97,US.AGN-A,"Allergan plc. 5.50% Mandatory Convertible Preferred Shares, Ser",1,STOCK,0,,1969-12-31,75213467500475
98,US.AGO,保證擔保有限公司,1,STOCK,0,,1969-12-31,205206
99,US.AGO-B,Assured Guaranty Ltd.,1,STOCK,0,,1969-12-31,75213467500162
100,US.AGO-E,Assured Guaranty Ltd.,1,STOCK,0,,1969-12-31,75213467502328
101,US.AGO-F,Assured Guaranty Ltd.,1,STOCK,0,,1969-12-31,75213467502329
102,US.AGR,Avangrid Inc.,1,STOCK,0,,1969-12-31,72091026274925
103,US.AGRO,Adecoagro SA,1,STOCK,0,,1969-12-31,207152
104,US.AGS,"PlayAGS, Inc.",1,STOCK,0,,2018-01-25,75363791357911
105,US.AGU,"Agrium, Inc.",1,STOCK,0,,1969-12-31,203435
106,US.AGX,"Argan, Inc.",1,STOCK,0,,1969-12-31,212128
107,US.AHC,AH貝羅,1,STOCK,0,,1969-12-31,205636
108,US.AHH,"Armada Hoffler Properties, Inc.",1,STOCK,0,,1969-12-31,207757
109,US.AHL,阿斯彭保險控股有限公司,1,STOCK,0,,1969-12-31,202683
110,US.AHL-C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate P,1,STOCK,0,,1969-12-31,75213467500164
111,US.AHL-D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulativ,1,STOCK,0,,1969-12-31,75213467500507
112,US.AHP,"Ashford Hospitality Prime, Inc.",1,STOCK,0,,1969-12-31,207648
113,US.AHP-B,"AHP,5.50%, 累积可转换优先股, par value $0.01 per share, Series B",1,STOCK,0,,1969-12-31,75213467500519
114,US.AHS,AMN醫療保健服務公司 (已退市),1,STOCK,0,,1969-12-31,205257
115,US.AHT,阿什福德酒店管理信托公司,1,STOCK,0,,1969-12-31,202458
116,US.AHT-D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferr,1,STOCK,0,,1969-12-31,75213467502330
117,US.AHT-F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Prefer,1,STOCK,0,,1969-12-31,75213467500515
118,US.AHT-G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Prefer,1,STOCK,0,,1969-12-31,75213467500494
119,US.AHT-H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferr,1,STOCK,0,,1969-12-31,75213467502408
120,US.AHT-I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferr,1,STOCK,0,,1969-12-31,75213467502434
121,US.AI,阿靈頓資產投資公司,1,STOCK,0,,1969-12-31,202656
122,US.AI-B,Arlington Asset Investment Corp 7.00% Series B Cumulative Perpe,1,STOCK,0,,1969-12-31,75213467502387
123,US.AIB,Apollo Investment Corp Pfd,1,STOCK,0,,1969-12-31,209726
124,US.AIB.L,AIB.L,1,STOCK,0,,1969-12-31,74775380837572
125,US.AIC,Arlington Asset Investment Corp.,1,STOCK,0,,2015-03-24,210889
126,US.AIF,"Apollo Tactical Income Fund, Inc.",1,STOCK,0,,1969-12-31,207902
127,US.AIG,美國國際集團,1,STOCK,0,,1984-10-07,202195
128,US.AIN,奧爾巴尼國際,1,STOCK,0,,1969-12-31,202710
129,US.AIR,AAR公司,1,STOCK,0,,1969-12-31,206053
130,US.AIT,應用工業技術公司,1,STOCK,0,,1969-12-31,205355
131,US.AIV,公寓投管,1,STOCK,0,,1969-12-31,203118
132,US.AIV-A,Apartment Investment and Management Company Preferred Series Cl,1,STOCK,0,,1969-12-31,75213467502331
133,US.AIW,Arlington Asset Investment Corp.,1,STOCK,0,,1969-12-31,209728
134,US.AIY,Apollo Investment Corp.,1,STOCK,0,,1969-12-31,208323
135,US.AIZ,艾斯蘭公司,1,STOCK,0,,1969-12-31,203250
136,US.AIZP,"Assurant, Inc.",1,STOCK,0,,1969-12-31,75608604493982
137,US.AJAX,Aspen REIT,1,STOCK,0,,2018-02-15,75471165540440
138,US.AJG,亞瑟加拉格爾有限公司,1,STOCK,0,,1969-12-31,202953
139,US.AJRD,"Aerojet Rocketdyne Holdings, Inc.",1,STOCK,0,,1969-12-31,210944
140,US.AJX,Great Ajax Corp.,1,STOCK,0,,2015-02-12,210733
141,US.AJXA,Great Ajax Corp.,1,STOCK,0,,1969-12-31,74229919989939
142,US.AKO.A,Embotelladora Andina SA,1,STOCK,0,,1969-12-31,207047
143,US.AKO.B,Embotelladora Andina SA,1,STOCK,0,,1969-12-31,206984
144,US.AKP,"Alliance California Municipal Income Fund, Inc.",1,STOCK,0,,1969-12-31,205726
145,US.AKR,阿卡迪亞房地產信托,1,STOCK,0,,1969-12-31,202781
146,US.AKS,AK鋼鐵控股公司,1,STOCK,0,,1969-12-31,202664
147,US.AL,航空租賃公司,1,STOCK,0,,1969-12-31,206821
148,US.ALB,美國雅寶公司,1,STOCK,0,,1969-12-31,203086
149,US.ALDW,Alon USA Partners LP,1,STOCK,0,,1969-12-31,207156
150,US.ALE,阿裏特,1,STOCK,0,,1969-12-31,205304
151,US.ALEX,亞歷山大與鮑德溫公司,1,STOCK,0,,1969-12-31,205919
152,US.ALG,阿拉莫集團股份有限公司,1,STOCK,0,,1969-12-31,201525
153,US.ALJ,阿龍美國能源公司,1,STOCK,0,,1969-12-31,205419
154,US.ALK,阿拉斯加航空集團有限公司,1,STOCK,0,,1969-12-31,205908
155,US.ALL,好事達,1,STOCK,0,,1969-12-31,203136
156,US.ALL-A,Allstate Corporation (The) Dep Shs Repstg 1/1000th Perp Pfd Ser,1,STOCK,0,,1969-12-31,75213467500166
157,US.ALL-B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subord,1,STOCK,0,,1969-12-31,75213467500167
158,US.ALL-C,Allstate Corporation (The) Dep Shs Repstg 1/1000th Int Shs Pfd ,1,STOCK,0,,1969-12-31,75213467500168
